start_city,start_cnt
0,689978
0,1206
110000,61
110100,8183
110101,22
110102,8
110103,6
110104,4
110105,25
110106,64
110107,5
110108,6
110109,8
110111,45
110112,114
110113,73
110114,53
110115,130
110116,16
110117,26
110120,28
110130,20
120000,76
120100,9562
120101,8
120102,11
120103,11
120104,10
120105,102
120106,5
120107,226
120108,21
120109,50
120110,80
120111,102
120112,37
120113,123
120114,136
120115,84
120120,55
120130,409
120140,47
130000,2012
130100,6876
130102,14
130103,8
130104,10
130105,7
130107,9
130108,7
130121,17
130123,44
130124,67
130125,38
130126,48
130127,78
130128,25
130129,31
130130,69
130131,19
130132,34
130133,107
130181,152
130182,110
130183,184
130184,59
130185,31
130200,4715
130202,14
130203,10
130204,13
130205,12
130207,91
130208,155
130223,39
130224,32
130225,68
130227,24
130229,145
130230,26
130281,72
130283,77
130300,919
130302,13
130303,14
130304,11
130321,2
130322,51
130323,6
130324,7
130400,6212
130402,29
130403,17
130404,14
130406,29
130421,34
130423,45
130424,41
130425,106
130426,30
130427,30
130428,24
130429,213
130430,40
130431,46
130432,25
130433,117
130434,83
130435,53
130481,175
130500,5535
130502,17
130503,7
130521,34
130522,20
130523,20
130524,29
130525,45
130526,35
130527,36
130528,245
130529,36
130530,51
130531,38
130532,68
130533,121
130534,141
130535,62
130581,85
130582,178
130600,4723
130602,5
130603,13
130604,18
130621,60
130622,31
130623,14
130624,26
130625,52
130626,18
130627,53
130628,29
130629,14
130630,20
130631,12
130632,15
130633,21
130634,89
130635,59
130636,23
130637,27
130638,264
130681,54
130682,120
130683,36
130684,65
130700,2377
130702,3
130703,1
130705,10
130706,8
130721,12
130722,442
130723,24
130724,248
130725,26
130726,6
130727,7
130728,4
130729,8
130730,16
130731,7
130732,8
130733,13
130800,704
130802,5
130803,7
130804,3
130821,11
130822,9
130823,25
130824,13
130825,21
130826,17
130827,8
130828,139
130900,5364
130902,10
130903,2
130921,37
130922,58
130923,98
130924,36
130925,88
130926,28
130927,32
130928,52
130929,75
130930,53
130981,172
130982,343
130983,155
130984,121
131000,3462
131002,11
131003,9
131022,65
131023,23
131024,67
131025,226
131026,185
131028,21
131081,426
131082,40
131100,2674
131102,26
131121,36
131122,34
131123,21
